"Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo","Ano"
"NN","ICP-MS","Other","Auth+Class+OrgDet+QC","Global","2010-18",2011
"SVM","Spec","Olive","Auth+Class+OrgDet+QC","Global","2019-21",2020
"SVM","GC-MS+Spec","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"RF+SVM+KNN","NIR+Spec","Honey","Auth+OrgDet","Global","2019-21",2021
"DT","LC-MS","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"KNN","Other","Other","Auth+Class+OrgDet+QC","Europe","2022-25",2022
"Other","Other","Honey","Auth+Class+OrgDet","Global","2022-25",2025
"NN+KNN","NIR+Spec","Honey","Auth+Class+OrgDet+QC","Global","2010-18",2013
"RF","Other","Wine","OrgDet+QC","Global","2022-25",2022
"Other","NMR+Spec","Other","Auth+Class+OrgDet+QC","Global","2022-25",2023
"SVM","Other","Honey","Auth+Class+OrgDet+QC","Europe","2019-21",2021
"SVM","NIR+Spec","Other","Class+OrgDet","Asia","2022-25",2023
"RF+DT","GC-MS+LC-MS","Honey","OrgDet","Global","2022-25",2022
"RF+DT","Other","Cheese","Auth+Class+OrgDet","Europe","2010-18",2012
"RF","Other","Wine","Class+OrgDet","Global","2022-25",2024
"Other","Other","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"RF+SVM+KNN+DT","NIR+Spec","Other","Class+OrgDet+QC","Global","2022-25",2024
"NN","GC-MS","Other","Auth+Class+OrgDet","Global","2022-25",2024
"SVM+NN","NIR+FTIR+Spec","Other","Auth+OrgDet","Global","2022-25",2023
"Other","Other","Other","Auth+Class+OrgDet","Global","2022-25",2025
"RF+DT","NMR","Olive","Auth+Class+OrgDet","Global","2022-25",2025
"RF+SVM+EM","Other","Other","Class+OrgDet","Global","2022-25",2025
"SVM+NN+KNN","Other","Other","Class+OrgDet","Asia","2022-25",2023
"Other","Spec","Wine","Auth+Class+OrgDet+QC","Global","2019-21",2019
"NN","Other","Other","OrgDet+QC","Global","2022-25",2024
"NN","Other","Other","Auth+OrgDet+QC","Asia","2022-25",2024
"NN","GC-MS","Olive","Class+OrgDet","Europe","2010-18",2010
"NN+DT+GB+EM","NIR+FTIR+Spec","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"SVM+KNN","NIR+FTIR+Spec","Honey","Auth+OrgDet","Global","2022-25",2024
"SVM+KNN","Spec","Other","Auth+Class+OrgDet","Asia","2019-21",2020
"Other","Other","Wine","OrgDet","Global","2022-25",2023
"RF+SVM+NN+DT","GC-MS","Other","Class+OrgDet","Asia","2022-25",2022
"RF+NN+DT","Other","Honey","Class+OrgDet+QC","Asia","2022-25",2022
"RF+SVM","ICP-MS","Other","Auth+OrgDet","Global","2019-21",2021
"Other","NIR+FTIR+Spec","Other","Class+OrgDet+QC","Global","2010-18",2013
"SVM+KNN","Other","Other","OrgDet","Global","2022-25",2022
"NN","Other","Olive","OrgDet+QC","Europe","2022-25",2023
"NN","NIR+Spec","Cheese","Auth+Class+OrgDet","Europe","2010-18",2013
"NN+DT","Other","Wine","Auth+Class+OrgDet","Global","2019-21",2021
"SVM","GC-MS","Other","Class+OrgDet+QC","Asia","2022-25",2025
"Other","NMR+Spec","Wine","Auth+OrgDet+QC","Global","2022-25",2025
"RF+SVM+NN","NIR+FTIR+Spec","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"DT","ICP-MS","Other","Auth+Class+OrgDet","Global","2022-25",2024
"NN","NIR+Spec","Other","Class+OrgDet","Global","2019-21",2020
"DT","NMR+Spec","Wine","OrgDet+QC","Global","2022-25",2023
"RF","Spec","Other","OrgDet+QC","Global","2022-25",2023
"NN","NIR+Spec","Other","OrgDet","Asia","2022-25",2024
"SVM","Other","Wine","OrgDet+QC","Europe","2022-25",2023
"Other","Other","Other","Class+OrgDet","Global","2019-21",2021
"SVM","NMR+Spec","Other","OrgDet","Global","2022-25",2023
"Other","FTIR+Spec","Other","Class+OrgDet","Global","2010-18",2017
"Other","Other","Other","Auth+OrgDet+QC","Asia","2022-25",2025
"Other","Spec","Wine","Class+OrgDet","Global","2019-21",2021
"SVM","Spec","Other","Class+OrgDet","Asia","2019-21",2020
"NN","Other","Other","Class+OrgDet","Global","2010-18",2015
"NN","NIR+Spec","Cheese","Auth+Class+OrgDet","Global","2010-18",2013
"SVM","Spec","Other","Class+OrgDet+QC","Asia","2022-25",2022
"RF+SVM+NN+DT+GB","Other","Other","Class+OrgDet+QC","Asia","2019-21",2021
"Other","NMR+Spec","Other","Auth+Class+OrgDet+QC","Europe","2010-18",2014
"NN","Other","Olive","Class+OrgDet","Global","2010-18",2013
"RF","Other","Other","Auth+Class+OrgDet+QC","Global","2022-25",2025
"RF+SVM+GB+EM","GC-MS","Other","OrgDet","Global","2022-25",2023
"SVM+NN","Spec","Other","OrgDet","Asia","2022-25",2023
"RF+DT","NIR+Spec","Honey","Auth+Class+OrgDet","Global","2022-25",2022
"SVM+NN","Other","Honey","Class+OrgDet+QC","Global","2019-21",2021
"SVM+NN","Spec","Other","Class+OrgDet","Global","2022-25",2025
"SVM+NN","NIR+Spec","Honey","Class+OrgDet","Asia","2022-25",2022
"RF","Other","Wine","Class+OrgDet","Global","2019-21",2021
"Other","Other","Other","OrgDet+QC","Global","2022-25",2025
"NN","Other","Other","OrgDet","Europe","2022-25",2025
"NN","Other","Wine","Class+OrgDet","Global","2010-18",2018
"RF","Other","Other","OrgDet+QC","Asia","2022-25",2023
"Other","NIR+Spec","Other","Class+OrgDet","Global","2010-18",2013
"Other","LC-MS","Other","Class+OrgDet","Asia","2022-25",2025
"NN","NMR+Spec","Other","OrgDet+QC","Global","2022-25",2024
"SVM+KNN","Other","Wine","OrgDet","Global","2022-25",2024
"NN","Other","Other","OrgDet+QC","Global","2022-25",2024
"NN+DT","Other","Other","OrgDet","Global","2022-25",2022
"NN","Spec","Other","Class+OrgDet","Global","2019-21",2021
"SVM","FTIR","Other","Class+OrgDet+QC","Asia","2019-21",2021
"KNN","ICP-MS","Other","Auth+OrgDet","Asia","2022-25",2022
