ID;Ano;DOI;Study;Localização;Experimental;Controle;Classe  de Solo WRB/USDA ;Classe de solo SiBSC;Profundidade (cm);Variavel;m_e;sd_e;n_e;m_c;sd_c;n_c;ln;Unidade;Objetivo Resumido;Observações importantes
1;2018;10.7717/peerj.4836;Hiel et al.;Bélgica;Incorporaçãoo de resí­duos;Exportaçãoo de resí­duos;Loam;Cambissolo Húmico ou Latossolo de textura média;0-20; Soil Organic Carbon (SOC);11,5;0,03;10;11;0,05;10;0,04;g/kg⁻¹;Avaliar o efeito do manejo de resíduos agrícolas na química do solo e produção agrícola em climas temperados.;Experimento conduzido com delineamento estatístico. Avaliação bem delimitada de COS e pH sob diferentes práticas de manejo de resíduos.
1;2018;Idem;Hiel et al.;Bélgica;Incorporaçãoo de resí­duos;Exportaçãoo de resí­duos;Loam;Cambissolo Húmico ou Latossolo de textura média;0-30;Soil pH;6,4;0,03;4;6,79;0,03;10;-0,06;CaCl2;Avaliar o efeito do manejo de resíduos agrícolas na química do solo e produção agrícola em climas temperados.;Idem
2;2019;10.3232/SJSS.2019.V9.N2.01;Peregrina;Espanha;Cobertura vegetal contí­nua;Conventional Tillage;Loam Typic Haploxerept;Cambissolo Eutrófico típico (zona semiárida);0-25; Soil Organic Carbon (SOC);0,64;0,01;5;0,57;0,01;5;0,12;Mg ha⁻¹ ano⁻¹;Avaliar a evolução do conteúdo de carbono orgânico e sua estratificação em solos de vinha semiáridos com cobertura vegetal a médio prazo.;Estudo de médio prazo (8 anos) em vinhedos, com dados de estratificação de COS por camadas. Resultados indicam tendência de acúmulo subsuperficial.
3;2018;10.15666/aeer/1603_30873096;Woźniak & Soroka;Polônia;Rotaçãoo de culturas com Minimum tillage;Monocultura com Conventional Tillage;Rendzic Phaeozem;Neossolo Litólico ou Cambissolo Háplico com carbonato;0-30; Soil Organic Carbon (SOC);0,63;0,05;3;0,61;0,05;3;0,03;g/kg⁻¹;Avaliar efeito da rotação de culturas e do sistema de preparo do solo sobre propriedades químicas do solo e produtividade.;Pequeno número de repetições (n = 3), mas com bom controle experimental. Estudo aborda sistema reduzido e rotação.
4;2018;10.1515/intag-2016-0089;Gajda et al.;Polônia;Minimum Tillage ;Conventional Tillage;*;*;0-20; Soil Organic Carbon (SOC);1,32;0,03;4;1,28;0,04;4;0,03;g/100g⁻¹;Avaliar o efeito das práticas de manejo do solo sobre as propriedades químicas, físicas e atividade microbiana do solo.;Estudo robusto com múltiplas variáveis relevantes. Fornece dados completos de macro e micronutrientes e pH. Valores em mg por 100 g.
4;;Idem;Gajda et al.;Polônia;Minimum Tillage ;Conventional Tillage;*;*;0-20;Available Potassium (AK);10,33;0,03;4;9,1;0,04;4;0,13;mg K2O 100 g-1;Idem;Idem
4;2018;Idem;Gajda et al.;Polônia;Minimum Tillage ;Conventional Tillage;*;*;0-20;Available Magnesium (AMg);8,8;0,03;4;7;0,04;4;0,23;mg Mg 100 g-1;Idem;Idem
4;2018;Idem;Gajda et al.;Polônia;Minimum Tillage ;Conventional Tillage;*;*;0-20;Available Total Phosphorus (ATP);6,4;0,03;4;6,2;0,04;4;0,03;mg P2O5 100 g-1;Avaliar o efeito das práticas de manejo do solo sobre as propriedades químicas, físicas e atividade microbiana do solo.;Idem
4;2017;Idem;Gajda et al.;Polônia;Minimum Tillage ;Conventional Tillage;*;*;0-20;Soil pH;6,4;0,03;4;6,2;0,04;4;0,03;KCl;Idem;Idem
6;2020;10.3390/plants9010048;Guzzetti et al.;Itália (Mediterrâneo);No-tillage  + coberto (CA manejo);Conventional Tillage (aração);Franco-arenoso (alfisol);Neossolo Quartzarênico ou Argissolo de textura arenosa;0–30; Soil Organic Carbon (SOC);51,15;2,24;4;48,56;3,37;4;0,05;Mg ha⁻¹ ano⁻¹;Avaliar o impacto do manejo de Agricultura Conservacionista (No-tillage com cobertura) na cultura do feijão-caupi, comparado ao Conventional Tillage, quanto ao acúmulo de C e N no solo e desempenho da cultura.;Ensaio mediterrâneo. Resultados indicam aumento no COS sob agricultura conservacionista. Alto valor absoluto de COS.
8;2020;10.15666/aeer/1802_34833496;Woźniak et al.;Lublin (Polônia);No-tillage;Conventional Tillage (araçãoo);Rendzic Phaeozem (calcário);Cambissolo ou Neossolo Litólico com influência calcária;0–30; Soil Organic Carbon (SOC);12,73;0,23;3;9,52;0,34;3;0,29;g/kg⁻¹;Avaliar rendimento da cevada, infestação de plantas daninhas e propriedades do solo em diferentes sistemas de preparo (convencional, reduzido e sem preparo) e rotações (trigo-soja vs. ervilha-soja). O No-tillage aumentou significativamente o teor de C orgânico (+33%) em relação ao sistema convencional, indicando melhor acúmulo de matéria orgânica no solo sob semeadura direta.;Aumento expressivo de COS com SPD. Dados indicam bom potencial de acúmulo de matéria orgânica sob semeadura direta.
9;2022;Idem;Ahmad et al.;Multan, árido (Paquistão);Minimum Tillage;Conventional Tillage (araçãoo);Inceptisol;Cambissolo Eutrófico ou Planossolo Háplico típico;0–15;Available Potassium (AK);21,6;0,03;4;20,7;0,04;4;0,04;mg kg⁻¹;Este estudo examinou a produtividade do algodão e os índices de qualidade do solo;
9;2022;10.1038/s41598-022-18157-0;Ahmad et al.;Multan, árido (Paquistão);Minimum Tillage;Conventional Tillage (araçãoo);Inceptisol;Cambissolo Eutrófico ou Planossolo Háplico típico;0–15;Available Total Phosphorus (ATP);7,43;1;4;7,26;0,05;4;0,02;mg kg⁻¹;Examinar a produtividade do algodão e índices de qualidade do solo sob sistemas de Conventional Tillage vs. conservacionista, com diferentes adições orgânicas, em clima árido.;Uso combinado de preparo conservacionista e adubos orgânicos resultou em melhorias nos índices de fósforo e potássio. Resultados claramente apresentados e compatíveis com critérios da meta-análise.
9;2022;10.1038/s41598-022-18157-0;Ahmad et al.;Multan (Paquistão);Preparo conservacionista (mí­nimo);Preparo convencional;Aridisol (Franco-argiloso);Neossolo Litólico;0–15;Total Nitrogen (TN);0,64;0,03;4;0,55;0,01;4;0,15;g/kg⁻¹;Examinar a produtividade do algodão e qualidade do solo em sistema conservacionista vs convencional.;"TN maior sob preparo mínimo; aumento de 16%. Diferencial positivo com adubação orgânica."
